Make,Model,Model Year,Mileage(km),Fuel Type,Transmission,Registered in,Color,Assembly,Engine Capacity(cc),Body Type,ABS,Air Bags,Air Conditioning,Alloy Rims,AM/FM Radio,CD Player,Cassette Player,Cool Box,Cruise Control,Climate Control,DVD Player,Front Speakers,Front Camera,Heated Seats,Immobilizer Key,Keyless Entry,Navigation System,Power Locks,Power Mirrors,Power Steering,Power Windows,Rear Seat Entertainment,Rear AC Vents,Rear Speakers,Rear Camera,Sun Roof,Steering Switches,USB and Auxillary Cable,Location,Price(PKR lacs)
Toyota,Corolla Altis Grande X CVT-i 1.8 Beige Interior,2021,"38,760",Petrol,Automatic,Islamabad,Black,Local,1800,Sedan,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,"I- 8, Islamabad Islamabad",40.5
Toyota,Corolla Altis X Automatic 1.6,2022,"34,193",Petrol,Automatic,Punjab,Super White,Local,1598,Sedan,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,"Johar Town, Lahore Punjab",57
Toyota,Corolla Altis Grande X CVT-i 1.8 Black Interior,2021,"25,500",Petrol,Automatic,Islamabad,White,Local,1800,Sedan,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,Faisalabad Punjab,65.9
Toyota,Corolla GLi 1.6,1998,"191,000",Petrol,Manual,Lahore,Black,Imported,1600,Sedan,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"Bahria Enclave, Islamabad Islamabad",12
Toyota,Corolla GLi 1.3 VVTi,2017,"68,510",Petrol,Manual,Lahore,White,Local,1300,Sedan,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,"Zafarwal Road, Sialkot Punjab",39
Toyota,Corolla Altis 1.6 X CVT-i Special Edition,2022,"8,000",Petrol,Automatic,Karachi,Super White,Local,1598,Sedan,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,"North Nazimabad, Karachi Sindh",62
Toyota,Corolla Altis 1.6 X CVT-i Special Edition,2023,140,Petrol,Automatic,Un-Registered,Super White,Local,1598,Sedan,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,Gojra Punjab,71.65
Toyota,Corolla GLi Automatic Limited Edition 1.6 VVTi,2012,"84,000",Petrol,Automatic,Karachi,Burgundy,Local,1600,Sedan,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,"Gulistan-e-Jauhar, Karachi Sindh",26.5
Toyota,Corolla GLi 1.3 VVTi,2014,"61,000",Petrol,Manual,Islamabad,Silver Metallic,Local,1300,Sedan,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,Islamabad Islamabad,39
Toyota,Corolla Altis Grande X CVT-i 1.8 Beige Interior,2021,"44,000",Petrol,Automatic,Islamabad,Super White,Local,1800,Sedan,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,"Bani Gala, Islamabad Islamabad",64.9
Toyota,Corolla GLi Automatic 1.3 VVTi,2015,"80,000",Petrol,Automatic,Islamabad,Strong Blue,Local,1300,Sedan,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,"9th Avenue, Islamabad Islamabad",38.8
Toyota,Corolla Assista X Package 1.5,2006,"200,000",Petrol,Automatic,Lahore,White,Imported,1500,Sedan,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,Islamabad Islamabad,36
Toyota,Corolla Altis 1.6 X CVT-i,2023,"2,800",Petrol,Automatic,Karachi,Super White,Local,1598,Sedan,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,"PAF Housing Scheme, Karachi Sindh",68.9
Toyota,Corolla 2.0D Saloon,2010,"150,000",Diesel,Manual,Peshawar,Green,Local,2000,Sedan,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,"Cantt, Peshawar KPK",29
Toyota,Corolla Altis X Manual 1.6,2021,"20,000",Petrol,Manual,Islamabad,White,Local,1600,Sedan,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,Rawalpindi Punjab,50
Toyota,Corolla Altis Grande X CVT-i 1.8 Black Interior,2021,"21,000",Petrol,Automatic,Islamabad,Super white,Local,1798,Sedan,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,Peshawar KPK,70
Toyota,Corolla Altis Automatic 1.6,2014,"150,000",Petrol,Automatic,Islamabad,Super White,Local,1600,Sedan,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,"Rahwali Cantt, Gujranwala Punjab",34.5
Toyota,Corolla Altis 1.6 X CVT-i,2023,"7,000",Petrol,Automatic,Islamabad,Super White,Local,1598,Sedan,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,Faisalabad Punjab,65.5
Toyota,Corolla Altis Automatic 1.6,2020,"46,000",Petrol,Automatic,Sindh,Super White,Local,1600,Sedan,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,Karachi Sindh,50.5
Toyota,Corolla GLi 1.3 VVTi,2017,130,Petrol,Manual,Lahore,Silver Metallic,Imported,1300,Sedan,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,"UK Garden, Pir mahal Punjab",36
Toyota,Corolla Altis CVT-i 1.8,2019,"56,000",Petrol,Automatic,Lahore,Super White,Local,1800,Sedan,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,Faisalabad Punjab,51.5
Toyota,Corolla Altis Automatic 1.6,2019,"45,000",Petrol,Automatic,Islamabad,White,Local,1600,Sedan,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,"Cantt, Quetta Balochistan",51.95
Toyota,Corolla GLi 1.3 VVTi,2013,"80,000",Petrol,Manual,Rawalpindi,Black,Local,1300,Sedan,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,"G-13, Islamabad Islamabad",29
Toyota,Corolla Altis Grande CVT-i 1.8,2017,"95,000",Petrol,Automatic,Islamabad,Burgundy,Local,1800,Sedan,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,"Cantt, Peshawar KPK",50.5
Toyota,Corolla Altis X Automatic 1.6,2022,"34,193",Petrol,Automatic,Punjab,Super White,Local,1598,Sedan,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,"Johar Town, Lahore Punjab",57
Toyota,Corolla Altis Grande CVT-i 1.8,2018,"43,000",Petrol,Automatic,Islamabad,White,Local,1800,Sedan,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,Faisalabad Punjab,55
Toyota,Corolla Altis CVT-i 1.8,2016,"199,485",Petrol,Automatic,Islamabad,Mica Matellic,Local,1800,Sedan,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,Islamabad Islamabad,40
Toyota,Corolla Altis Automatic 1.6,2016,"90,296",Petrol,Automatic,Sindh,Blue,Local,1600,Sedan,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,"Air Port, Karachi Sindh",35.5
Toyota,Corolla GLi 1.3 VVTi,2008,"119,000",Petrol,Manual,Rawalpindi,Blue,Local,1300,Sedan,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,Islamabad Islamabad,28.5
Toyota,Corolla Altis Grande X CVT-i 1.8 Beige Interior,2023,19,Petrol,Automatic,Un-Registered,Black,Local,1800,Sedan,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,"Jail Road, Lahore Punjab",75.75
Toyota,Corolla Altis X Automatic 1.6 Special Edition,2023,16,Petrol,Automatic,Un-Registered,White,Local,1600,Sedan,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,Lahore Punjab,69
Toyota,Corolla Altis Grande X CVT-i 1.8 Black Interior,2023,11,Petrol,Automatic,Un-Registered,Black,Local,1800,Sedan,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,Lahore Punjab,76
Toyota,Corolla Altis Grande X CVT-i 1.8 Beige Interior,2023,50,Petrol,Automatic,Un-Registered,White,Local,1800,Sedan,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,Lahore Punjab,74.5
Toyota,Corolla GLi Automatic 1.3 VVTi,2016,"167,000",Petrol,Automatic,Lahore,Black,Local,1300,Sedan,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,Lahore Punjab,36
Toyota,Corolla Altis Grande CVT-i 1.8,2020,"90,000",Petrol,Automatic,Punjab,White,Local,1800,Sedan,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,Lahore Punjab,58.5
Toyota,Corolla Altis Grande CVT-i 1.8,2017,"91,000",Petrol,Automatic,Islamabad,Blue,Local,1800,Sedan,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,Islamabad Islamabad,50
Toyota,Corolla GLi 1.3 VVTi,2013,"80,000",Petrol,Manual,Rawalpindi,Black,Local,1300,Sedan,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,"G-13, Islamabad Islamabad",29
Toyota,Corolla Altis Grande CVT-i 1.8,2017,"95,000",Petrol,Automatic,Islamabad,Burgundy,Local,1800,Sedan,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,"Cantt, Peshawar KPK",50.5
Toyota,Corolla Altis Grande CVT-i 1.8,2016,"37,300",Petrol,Automatic,Karachi,Bronze Mica,Local,1798,Sedan,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,"DHA Defence, Karachi Sindh",46.5
Toyota,Corolla Altis Automatic 1.6,2015,165,Petrol,Automatic,Islamabad,Black,Local,1600,Sedan,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,Islamabad Islamabad,37
Toyota,Corolla Altis Grande X CVT-i 1.8 Beige Interior,2022,"1,000",Petrol,Automatic,Islamabad,Black,Local,1800,Sedan,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,"Ring Road, Peshawar KPK",70
Toyota,Corolla GLi Automatic 1.3 VVTi,2020,"32,000",Petrol,Automatic,Lahore,Strong Blue,Local,1300,Sedan,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,"Gulberg, Lahore Punjab",49.75
Toyota,Corolla GL Saloon,1986,"150,000",Petrol,Manual,Lahore,White,Imported,1500,Sedan,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,"Ayub Medical Complex, Abbottabad KPK",8
Toyota,Corolla GLi Automatic 1.3 VVTi,2015,"91,000",Petrol,Automatic,Lahore,Grey Graphite,Local,1300,Sedan,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,"Punjab Govt Employees Society, Lahore Punjab",35.45
Toyota,Corolla XLi,2007,"142,000",Petrol,Manual,Lahore,Black,Local,1300,Sedan,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Bhakkar Punjab,18.25
Toyota,Corolla GLi 1.3 VVTi,2018,"92,000",Petrol,Manual,Lahore,White,Local,1300,Sedan,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,Gojra Punjab,41.5
Toyota,Corolla Altis Automatic 1.6,2017,"81,500",Petrol,Automatic,Lahore,Super White,Local,1600,Sedan,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,"Gulberg, Lahore Punjab",43.5
Toyota,Corolla GLi Automatic 1.3 VVTi,2017,"40,000",Petrol,Automatic,Islamabad,Black,Local,1300,Sedan,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,Islamabad Islamabad,44
Toyota,Corolla Altis Automatic 1.6,2018,"60,500",Petrol,Automatic,Lahore,White,Local,1600,Sedan,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,"DHA Defence, Lahore Punjab",47
Toyota,Corolla XLi VVTi,2009,"300,000",Petrol,Manual,Lahore,White,Local,1300,Sedan,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Rawalpindi Punjab,19
Toyota,Corolla Altis Grande CVT-i 1.8,2020,"40,000",Petrol,Automatic,Punjab,Silver,Local,1800,Sedan,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,"Rawalpindi Road, Chakwal Punjab",62
Toyota,Corolla Altis Grande X CVT-i 1.8 Beige Interior,2022,"18,500",Petrol,Automatic,Islamabad,White,Local,1800,Sedan,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,"Cantt, Rawalpindi Punjab",71.5
Toyota,Corolla Altis SR Cruisetronic 1.6,2011,"48,000",Petrol,Automatic,Islamabad,Super white,Local,1600,Sedan,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,"Peshawar Road, Rawalpindi Punjab",44.1
Toyota,Corolla Altis Grande X CVT-i 1.8 Beige Interior,2023,225,Petrol,Automatic,Islamabad,Super White,Local,1800,Sedan,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,Lahore Punjab,75
Toyota,Corolla Altis Grande CVT-i 1.8,2015,"85,000",Petrol,Automatic,Lahore,Attitude Black,Local,1798,Sedan,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,"Cantt, Gujranwala Punjab",41.5
Toyota,Corolla GLi 1.3,2007,"310,000",Petrol,Manual,Lahore,graphite grey,Local,1300,Sedan,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,Peshawar KPK,17.8
Toyota,Corolla Altis Grande CVT-i 1.8,2015,"105,000",Petrol,Automatic,Karachi,Super white,Imported,1798,Sedan,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,"Mansehra, Abbottabad KPK",37.9
Toyota,Corolla,1980,"25,000",Petrol,Manual,Peshawar,Red,Imported,2000,N/A,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"DHA Valley, Islamabad Islamabad",10.5
Toyota,Corolla GLi 1.3 VVTi,2012,"146,546",Petrol,Manual,Lahore,Black,Local,1300,Sedan,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,"Allama Iqbal Road, Mirpur A.K. Azad Kashmir",28.7
Toyota,Corolla Altis X Automatic 1.6 Special Edition,2023,175,Petrol,Automatic,Karachi,Super White,Local,1600,Sedan,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,"Khalid Bin Walid Road, Karachi Sindh",40.5
Toyota,Corolla GLi Automatic Limited Edition 1.6 VVTi,2013,"120,156",Petrol,Automatic,Lahore,Silver,Local,1600,Sedan,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,Lahore Punjab,29
Toyota,Corolla Altis X Automatic 1.6 Special Edition,2021,"20,000",Petrol,Automatic,Karachi,White,Local,1600,Sedan,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,"Rahimyar Khan Bypass, Rahim Yar Khan Punjab",59.99
Toyota,Corolla Altis Grande CVT-i 1.8,2017,"108,000",Petrol,Automatic,Islamabad,Super white,Local,1798,Sedan,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,Islamabad Islamabad,46
Toyota,Corolla Altis Grande X CVT-i 1.8 Beige Interior,2021,"21,858",Petrol,Automatic,Punjab,Super White,Local,1799,Sedan,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,"BAHRIA PHASE 8, Rawalpindi Punjab",66
Toyota,Corolla GLi 1.3 VVTi,2017,"24,701",Petrol,Manual,Islamabad,White,Local,1300,Sedan,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,"I-10, Islamabad Islamabad",44
Toyota,Corolla Altis Automatic 1.6,2018,"67,535",Petrol,Automatic,Lahore,Graphite Grey,Local,1600,Sedan,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,"Cantt, Lahore Punjab",48
Toyota,Corolla Altis Grande X CVT-i 1.8 Black Interior,2023,28,Petrol,Automatic,Un-Registered,Attitude Black,Local,1798,Sedan,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,"9th Avenue, Islamabad Islamabad",81.3
Toyota,Corolla Altis Grande X CVT-i 1.8 Beige Interior,2021,"27,000",Petrol,Automatic,Punjab,White,Local,1800,Sedan,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,"Jail Road, Lahore Punjab",64.5
Toyota,Corolla Altis Automatic 1.6,2020,"62,133",Petrol,Automatic,Lahore,Silver Metallic,Local,1600,Sedan,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,"DHA Phase 4, Lahore Punjab",51.5
Toyota,Corolla Altis CVT-i 1.8,2017,"113,000",Petrol,Automatic,Lahore,Grey,Local,1800,Sedan,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,Lahore Punjab,40.5
Toyota,Corolla Altis 1.6 X CVT-i,2023,"1,375",Petrol,Automatic,Lahore,Attitude Black,Local,1598,Sedan,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,Lahore Punjab,40.5
Toyota,Corolla Altis Grande X CVT-i 1.8 Black Interior,2021,"25,000",Petrol,Automatic,Islamabad,White,Local,1800,Sedan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Swat KPK,63.5
Toyota,Corolla Altis Grande X CVT-i 1.8 Black Interior,2023,"7,080",Petrol,Automatic,Un-Registered,Attitude Black,Local,1798,Sedan,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,"Bahria Town, Islamabad Islamabad",78
Toyota,Corolla GLi Automatic Limited Edition 1.6 VVTi,2013,"120,156",Petrol,Automatic,Lahore,Silver,Local,1600,Sedan,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,Lahore Punjab,29
Toyota,Corolla XLi VVTi,2012,"129,000",Petrol,Manual,Karachi,White,Local,1300,Sedan,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,"Khalid Bin Walid Road, Karachi Sindh",26.5
Toyota,Corolla Altis Automatic 1.6,2019,"45,000",Petrol,Automatic,Lahore,Super White,Local,1600,Sedan,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,"DHA Defence, Lahore Punjab",51
Toyota,Corolla GLi 1.3 VVTi,2018,"115,000",Petrol,Manual,Sindh,Black,Local,1300,Sedan,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,"Valencia Housing Society, Lahore Punjab",38
Toyota,Corolla DX,1986,"150,000",Petrol,Manual,Karachi,Silver,Local,1300,Sedan,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Khalid Bin Walid Road, Karachi Sindh",8.9
Toyota,Corolla Altis Automatic 1.6,2018,"85,864",Petrol,Automatic,Karachi,Phantom Brown,Local,1600,Sedan,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,"Jamshed Road, Karachi Sindh",41.5
Toyota,Corolla 2.0D,1995,8,Diesel,Automatic,Islamabad,Green,Imported,2000,Sedan,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,"G- 6, Islamabad Islamabad",16.8
Toyota,Corolla GLi Automatic 1.3 VVTi,2017,"61,844",Petrol,Automatic,Sindh,White,Local,1300,Sedan,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,"D.H.A, Karachi Sindh",36
Toyota,Corolla Altis Grande CVT-i 1.8,2023,"10,000",Petrol,Automatic,Islamabad,White,Local,1800,Sedan,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,Islamabad Islamabad,74.5
Toyota,Corolla Altis Grande CVT-i 1.8,2017,"5,000",Petrol,Automatic,Lahore,White,Local,1800,Sedan,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,Sara-E-Alamgir Punjab,47
Toyota,Corolla SE Limited,1998,"256,789",Petrol,Automatic,Punjab,White,Local,1500,Sedan,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,Islamabad Islamabad,17
Toyota,Corolla Altis Grande 1.8,2017,"48,000",Petrol,Automatic,Lahore,Graphite Grey,Local,1800,Sedan,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,"Bahria Town, Lahore Punjab",47
Toyota,Corolla Altis Grande X CVT-i 1.8 Black Interior,2022,"22,000",Petrol,Automatic,Islamabad,White,Local,1800,Sedan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gujranwala Punjab,64.4
Toyota,Corolla Altis Grande X CVT-i 1.8 Black Interior,2021,"19,000",Petrol,Automatic,Sindh,White,Local,1800,Sedan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gulshan-e-Iqbal, Karachi Sindh",64
Toyota,Corolla GLi 1.3,2007,"85,000",Petrol,Manual,Lahore,White,Local,1300,Sedan,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,"Charsadda Road, Peshawar KPK",21.5
